rpm,speed,throttle_pos,engine_load,map_kpa,iat,coolant_temp,o2_voltage,fuel_trim,ltft,voltage,gear,clutch,side_stand,front_wheel_speed,rear_wheel_speed,target_label,rul_hours,failure_probability
2434.2,28.8,19.9,46.5,44.9,30.5,90.7,0.866,2.3,1.95,14.0,2,0,0,28.8,29.3,0,1148.2,0.0401
3738.4,95.6,26.4,57.4,56.7,36.1,87.1,0.668,-2.53,1.27,10.73,5,0,0,95.6,94.9,3,43.3,0.8395
4116.7,55.1,53.5,88.1,88.7,41.5,111.7,0.871,9.49,4.35,13.79,2,0,0,55.1,54.7,1,42.3,0.7529
3527.0,95.9,25.3,60.6,59.0,31.1,82.4,0.86,1.36,1.78,14.22,5,0,0,95.9,95.1,0,1345.9,0.0545
2940.8,26.1,21.7,44.0,44.1,37.9,95.6,0.823,1.94,1.2,14.19,1,0,0,26.1,26.1,0,950.0,0.0344
3942.0,70.9,51.9,77.0,75.6,38.0,79.0,0.748,1.33,1.43,13.97,3,0,0,70.9,70.2,0,955.7,0.0217
1097.2,0.0,1.9,32.9,34.6,27.4,87.1,0.264,1.36,1.21,14.06,0,0,0,0.0,0.0,0,712.5,0.0552
991.7,0.0,2.1,37.6,55.7,29.3,89.6,0.184,15.99,12.73,13.94,0,0,0,0.0,0.0,2,37.7,0.7789
2324.5,20.2,11.9,41.3,41.7,42.7,114.4,0.751,10.5,4.05,13.83,1,0,0,20.2,20.1,1,37.8,0.9297
2275.1,40.4,14.7,35.1,38.7,35.0,105.9,0.873,3.42,4.3,13.67,3,0,0,40.4,40.3,1,14.5,0.7232
1100.1,0.0,1.9,32.2,34.6,28.8,87.9,0.325,2.87,2.76,14.02,0,0,0,0.0,0.0,0,1330.8,0.0217
4474.9,55.1,45.3,89.7,87.2,34.1,88.3,0.563,-2.84,1.47,10.32,2,0,0,55.1,54.0,3,43.6,0.8495
1271.7,0.0,2.0,29.1,53.5,34.5,95.4,0.175,24.17,12.61,14.01,0,0,1,0.0,0.0,2,41.4,0.7784
4823.1,57.6,75.4,74.7,75.7,28.5,88.1,0.34,5.76,2.42,14.29,2,0,0,57.6,58.6,0,770.8,0.0768
2165.4,35.7,17.5,43.9,45.0,28.8,88.4,0.797,3.71,1.85,14.04,3,0,0,35.7,35.8,0,1195.3,0.0201
2347.3,27.9,13.7,45.8,45.5,26.9,89.6,0.742,2.19,1.72,14.13,2,0,0,27.9,27.7,0,1430.2,0.0235
997.8,0.0,2.4,36.7,37.3,39.8,89.5,0.229,1.23,1.03,14.12,0,0,0,0.0,0.0,0,1164.0,0.0162
2472.8,28.1,19.7,53.6,52.7,28.3,85.3,0.338,1.59,2.2,14.54,2,0,0,28.1,28.4,0,861.0,0.0299
2582.2,31.9,16.4,47.5,44.5,31.8,82.6,0.748,0.2,-0.11,14.07,2,0,0,31.9,31.9,0,992.0,0.0733
1053.5,0.0,2.2,36.7,35.4,32.6,83.5,0.328,3.09,1.25,14.03,0,0,0,0.0,0.0,0,896.8,0.0448
2434.9,29.8,10.6,41.4,38.0,39.4,110.2,0.66,8.19,5.54,13.9,2,0,0,29.8,29.3,1,45.7,0.9481
997.1,0.0,1.9,32.9,36.4,30.3,86.7,0.721,4.31,1.39,14.12,0,0,0,0.0,0.0,0,782.9,0.0686
2043.0,19.8,20.5,39.8,39.7,27.5,92.6,0.875,0.23,1.97,14.2,2,0,0,19.8,20.2,0,904.3,0.0529
2500.7,17.9,10.3,45.3,45.8,28.2,83.8,0.683,1.21,1.47,14.02,1,0,0,17.9,17.9,0,988.4,0.0659
4001.4,104.9,16.8,59.2,59.4,32.0,80.2,0.222,1.51,2.17,14.02,5,0,0,104.9,106.3,0,1185.2,0.0173
1135.7,0.0,2.4,39.4,63.1,35.6,93.0,0.082,25.26,16.64,13.96,0,0,0,0.0,0.0,2,26.2,0.857
2569.8,21.5,10.1,46.7,45.2,36.8,83.7,0.725,0.05,2.38,14.17,1,0,0,21.5,21.5,0,1243.1,0.0711
1086.7,0.0,2.4,33.1,34.3,32.4,84.4,0.284,1.4,0.78,14.27,0,0,0,0.0,0.0,0,836.7,0.0318
1109.1,0.0,2.1,34.4,29.6,34.8,84.5,0.277,2.11,2.68,13.98,0,0,0,0.0,0.0,0,794.3,0.0771
4016.6,108.1,33.5,60.4,61.4,29.8,90.8,0.346,2.89,1.29,14.1,5,0,0,108.1,109.8,0,847.0,0.0365
3152.2,82.8,17.4,58.7,56.6,37.3,126.1,0.734,10.91,3.54,13.85,5,0,0,82.8,81.3,1,20.3,0.8832
4771.7,79.5,83.3,75.3,75.0,32.5,87.6,0.216,3.74,1.82,14.13,3,0,0,79.5,79.9,0,986.1,0.0304
4463.0,80.3,77.7,75.6,73.3,37.6,85.1,0.872,2.88,0.37,13.99,3,0,0,80.3,79.2,0,1273.8,0.0635
1418.8,8.4,17.0,47.3,47.4,30.3,87.6,0.647,-1.83,0.13,11.74,1,0,0,8.4,8.3,3,11.4,0.9028
3438.0,94.1,29.3,69.3,71.2,35.7,86.4,0.328,0.77,0.16,9.54,5,0,0,94.1,93.1,3,33.8,0.814
2272.2,36.7,15.6,45.9,67.1,37.7,92.3,0.172,18.34,13.1,13.93,3,0,0,36.7,36.5,2,56.9,0.8748
2299.4,38.5,8.2,44.8,43.9,36.0,87.5,0.236,-1.0,2.37,14.27,3,0,0,38.5,38.3,0,1255.0,0.0376
1015.1,0.0,2.4,34.3,37.4,32.5,89.2,0.777,2.77,0.95,14.18,0,0,0,0.0,0.0,0,735.6,0.0626
1040.5,0.0,2.2,33.1,35.0,43.5,121.8,0.658,9.94,3.0,13.85,0,0,0,0.0,0.0,1,11.0,0.7646
3511.6,74.8,19.5,57.9,57.8,36.9,86.9,0.255,2.62,2.34,14.22,4,0,0,74.8,76.0,0,1467.2,0.0452
1055.8,0.0,1.8,34.3,31.7,35.0,88.6,0.748,1.02,1.37,14.04,0,0,0,0.0,0.0,0,714.8,0.0589
2194.6,25.0,7.0,51.2,48.2,32.6,88.8,0.731,0.14,0.4,14.26,2,0,0,25.0,25.0,0,1260.2,0.0241
1051.5,0.0,1.8,39.0,38.8,33.1,88.9,0.223,1.15,1.25,13.89,0,0,1,0.0,0.0,0,1317.6,0.0127
2075.1,24.8,7.6,54.0,50.3,37.9,81.7,0.455,0.16,1.45,10.43,2,0,0,24.8,24.8,3,26.8,0.8781
3745.3,80.6,18.3,74.8,71.3,27.7,87.2,0.73,3.09,2.2,14.07,4,0,0,80.6,80.6,0,1009.8,0.052
1071.2,0.0,1.9,35.1,32.6,41.2,108.1,0.779,6.54,3.09,14.12,0,0,1,0.0,0.0,1,52.0,0.8661
2333.3,38.5,9.7,47.4,49.3,33.1,82.8,0.745,2.89,2.05,14.34,3,0,0,38.5,39.1,0,1031.6,0.0175
1029.1,0.0,2.0,33.4,29.9,35.9,86.3,0.681,0.88,1.45,14.14,0,0,1,0.0,0.0,0,948.8,0.0324
1034.6,0.0,1.9,36.5,38.0,35.7,84.9,0.332,3.07,0.07,14.28,0,0,0,0.0,0.0,0,838.8,0.0739
2261.4,18.7,20.8,39.8,41.9,35.3,91.0,0.74,2.35,2.74,14.29,1,0,0,18.7,18.7,0,1191.7,0.0694
1758.1,27.3,17.2,50.7,50.5,38.7,81.9,0.538,2.66,2.07,10.75,3,0,0,27.3,27.5,3,18.6,0.8974
4951.7,76.7,81.9,79.8,98.0,39.1,97.6,0.12,15.51,14.43,13.84,3,0,0,76.7,77.0,2,99.9,0.9052
3696.5,56.7,56.6,86.7,86.0,31.8,84.4,0.669,3.18,-0.48,10.84,3,0,0,56.7,57.5,3,35.0,0.8169
936.1,0.0,2.2,28.3,47.4,36.0,96.9,0.111,20.52,10.24,13.88,0,0,0,0.0,0.0,2,101.9,0.919
3220.5,52.1,15.0,52.6,52.8,33.1,87.0,0.32,-1.13,1.25,14.18,3,0,0,52.1,52.4,0,954.9,0.0387
3299.7,86.0,23.8,58.3,55.9,27.2,91.3,0.651,-1.58,2.56,11.2,5,0,0,86.0,87.3,3,24.8,0.878
2253.8,27.5,11.8,34.8,35.3,35.0,87.0,0.709,2.12,0.92,14.16,2,0,0,27.5,27.8,0,994.3,0.0391
4805.4,60.0,69.8,74.0,75.0,30.4,85.4,0.263,3.52,0.93,14.16,2,0,0,60.0,59.3,0,1033.5,0.0536
2191.6,15.6,10.4,57.2,56.1,33.1,83.9,0.22,-1.15,2.43,14.0,1,0,0,15.6,15.4,0,1212.1,0.0525
2777.4,22.7,10.2,45.0,45.1,30.4,86.1,0.86,-0.22,2.64,14.22,1,0,0,22.7,23.1,0,904.8,0.0184
2687.3,20.8,6.8,43.8,44.9,39.7,82.1,0.226,1.78,0.74,14.19,1,0,0,20.8,21.0,0,913.6,0.0408
1021.1,0.0,2.2,35.0,35.2,34.5,88.6,0.855,0.4,0.89,13.96,0,0,0,0.0,0.0,0,953.9,0.0774
2490.5,47.1,21.7,48.1,72.5,31.9,86.0,0.081,21.49,15.12,14.15,3,0,0,47.1,47.6,2,108.2,0.7939
3372.1,73.4,32.2,57.6,59.1,34.7,90.3,0.285,2.28,0.5,14.22,4,0,0,73.4,73.7,0,1052.3,0.0595
1059.8,0.0,1.8,31.0,31.3,32.5,85.2,0.184,-0.33,1.68,13.94,0,0,0,0.0,0.0,0,936.5,0.0762
2601.4,21.4,8.3,51.2,52.9,33.3,89.3,0.182,3.67,2.01,14.08,1,0,0,21.4,21.0,0,791.7,0.0686
1058.3,0.0,1.9,33.5,35.4,35.2,84.6,0.209,1.38,2.34,14.12,0,0,0,0.0,0.0,0,1094.8,0.0181
2447.6,43.0,9.0,46.6,79.0,37.7,93.4,0.191,19.29,15.21,13.97,3,0,0,43.0,42.6,2,45.4,0.6875
1023.1,0.0,2.0,34.2,33.5,33.1,87.6,0.245,1.34,2.27,13.96,0,0,0,0.0,0.0,0,1085.1,0.0131
3035.4,22.6,8.7,56.6,55.0,39.9,89.3,0.274,3.15,1.7,9.73,1,0,0,22.6,22.6,3,22.6,0.9674
2128.0,26.3,12.4,46.8,81.2,35.8,91.1,0.13,24.21,12.7,14.11,2,0,0,26.3,26.7,2,114.2,0.7931
1033.0,0.0,2.1,32.9,35.2,31.7,89.3,0.866,1.58,-0.02,14.33,0,0,1,0.0,0.0,0,779.1,0.0182
3807.8,99.4,29.9,70.5,72.3,39.4,84.6,0.242,-2.16,2.18,14.22,5,0,0,99.4,97.7,0,1395.5,0.0266
1870.1,25.7,6.5,49.7,69.2,34.2,101.0,0.159,17.48,14.83,14.12,2,0,0,25.7,25.8,2,80.3,0.7551
1007.6,0.0,2.1,32.8,31.4,40.5,115.9,0.787,10.94,3.52,13.72,0,0,0,0.0,0.0,1,34.7,0.785
3454.4,88.3,21.2,65.6,68.1,41.8,116.5,0.807,6.25,5.7,13.71,5,0,0,88.3,89.1,1,33.2,0.7539
1224.5,0.0,2.4,39.7,57.8,38.8,98.2,0.139,18.37,14.03,14.1,0,0,1,0.0,0.0,2,32.2,0.8687
2425.8,30.0,21.1,50.0,51.6,32.9,90.0,0.32,3.29,2.48,14.39,2,0,0,30.0,29.8,0,953.5,0.0335
2436.9,21.1,20.2,41.7,43.3,28.2,92.8,0.265,-0.84,2.02,14.19,1,0,0,21.1,21.0,0,1211.6,0.0565
3647.6,97.3,23.9,59.8,60.6,28.1,88.3,0.245,3.96,1.24,14.1,5,0,0,97.3,98.1,0,954.7,0.0138
1135.7,0.0,1.9,34.9,63.7,38.3,89.1,0.11,17.41,13.59,13.76,0,0,1,0.0,0.0,2,101.9,0.6689
1724.1,18.2,10.4,35.1,33.9,45.6,118.2,0.871,9.5,4.02,14.11,2,0,0,18.2,18.2,1,67.4,0.7258
2146.8,25.6,14.0,53.5,53.9,32.1,83.6,0.332,1.13,2.44,14.22,2,0,0,25.6,26.0,0,984.3,0.0502
1027.5,0.0,2.0,34.8,33.0,35.9,82.2,0.713,-0.44,1.64,13.98,0,0,1,0.0,0.0,0,1350.3,0.0183
2234.4,34.6,8.8,57.2,52.2,29.1,88.1,0.281,2.27,0.49,14.3,3,0,0,34.6,35.1,0,1000.2,0.0519
1091.9,0.0,2.1,33.6,34.5,27.6,84.2,0.794,1.25,1.48,14.14,0,0,0,0.0,0.0,0,854.7,0.0675
2150.4,27.1,20.5,41.3,41.4,40.5,119.8,0.899,3.31,4.97,13.92,2,0,0,27.1,27.3,1,10.5,0.823
4416.2,94.7,55.0,77.6,77.2,44.2,112.1,0.889,12.65,4.73,13.91,4,0,0,94.7,96.5,1,42.5,0.9116
977.0,0.0,2.0,33.2,61.0,28.4,89.3,0.151,21.91,16.29,14.06,0,0,0,0.0,0.0,2,65.0,0.8549
3788.0,62.9,53.1,89.3,87.5,36.6,83.7,0.231,1.95,2.29,14.28,3,0,0,62.9,62.3,0,855.1,0.0213
3125.8,70.4,33.4,65.0,63.8,31.7,89.8,0.867,0.34,0.48,14.22,4,0,0,70.4,71.4,0,1069.4,0.0799
3307.9,84.7,31.7,63.8,59.8,42.8,120.7,0.892,1.1,3.61,13.87,5,0,0,84.7,84.3,1,70.0,0.9445
3012.3,47.6,10.4,55.7,82.2,33.0,101.4,0.168,19.56,14.16,14.14,3,0,0,47.6,47.5,2,91.6,0.7727
1039.4,0.0,2.3,33.6,34.0,31.9,85.8,0.75,2.63,2.43,14.18,0,0,0,0.0,0.0,0,1099.4,0.0336
1146.7,0.0,1.8,36.8,67.1,28.1,83.4,0.188,16.58,11.43,14.06,0,0,0,0.0,0.0,2,102.3,0.7124
2239.6,38.1,6.1,45.7,47.8,38.3,85.3,0.315,1.98,1.21,14.02,3,0,0,38.1,38.8,0,1263.5,0.0723
3298.7,85.4,17.6,57.2,58.1,29.7,91.2,0.752,2.18,1.09,14.09,5,0,0,85.4,85.2,0,857.0,0.0484
1071.6,0.0,1.9,35.0,31.9,38.4,82.5,0.77,1.97,1.41,14.1,0,0,0,0.0,0.0,0,821.1,0.0172
2378.4,40.0,17.6,47.9,46.2,32.9,86.6,0.788,1.68,0.89,14.16,3,0,0,40.0,40.0,0,893.9,0.0642
2701.1,44.1,21.4,46.0,46.8,39.2,89.7,0.21,0.82,1.65,14.3,3,0,0,44.1,43.7,0,1240.6,0.0665
3694.8,78.6,21.9,56.4,56.7,32.1,90.4,0.809,2.97,1.02,14.08,4,0,0,78.6,77.3,0,1062.6,0.0609
2426.4,31.6,18.1,42.9,43.4,37.1,122.6,0.848,8.99,4.1,14.22,2,0,0,31.6,31.4,1,70.3,0.8228
3306.0,70.2,23.7,57.5,56.5,39.7,87.3,0.833,2.17,1.17,14.16,4,0,0,70.2,69.4,0,1143.0,0.0343
3807.4,98.4,30.2,59.3,60.1,35.1,91.1,0.24,2.87,1.27,14.07,5,0,0,98.4,97.6,0,1378.1,0.0631
1058.2,0.0,2.0,35.4,32.6,33.1,86.6,0.374,2.34,1.95,11.61,0,0,1,0.0,0.0,3,43.9,0.8622
4767.0,77.2,60.9,72.5,73.2,29.1,86.9,0.701,0.59,1.96,14.32,3,0,0,77.2,78.1,0,1169.9,0.0417
4047.1,71.2,73.2,79.8,81.0,28.3,90.2,0.323,2.14,-0.12,14.33,3,0,0,71.2,70.7,0,1137.8,0.0262
2853.6,76.3,25.6,55.3,81.6,33.0,90.1,0.132,19.37,15.14,13.82,5,0,0,76.3,76.6,2,91.4,0.8398
2654.3,31.1,9.7,45.0,48.8,33.0,86.4,0.743,2.41,2.31,14.01,2,0,0,31.1,31.6,0,1226.9,0.0783
2389.6,30.4,14.3,54.7,53.6,38.1,94.7,0.197,0.35,1.1,14.14,2,0,0,30.4,30.4,0,968.4,0.0158
1810.5,29.4,7.8,48.6,47.2,31.8,87.4,0.836,1.47,1.52,14.16,3,0,0,29.4,29.2,0,706.2,0.0586
5208.4,84.9,50.9,81.1,82.5,33.8,87.7,0.277,2.5,1.08,14.03,3,0,0,84.9,85.2,0,1012.6,0.0619
1846.2,23.6,21.8,44.1,45.6,36.3,84.7,0.694,2.98,-0.68,9.91,2,0,0,23.6,24.0,3,23.3,0.8487
2639.3,45.3,15.4,48.7,74.3,32.1,95.8,0.152,22.21,16.97,13.76,3,0,0,45.3,45.2,2,88.4,0.7082
1048.3,0.0,2.2,34.3,35.5,41.6,118.3,0.697,4.43,3.1,13.79,0,0,0,0.0,0.0,1,41.5,0.9104
3649.5,92.3,31.1,57.4,77.1,33.8,95.6,0.082,21.0,10.01,14.07,5,0,0,92.3,93.3,2,34.5,0.7752
1905.1,13.2,19.3,45.6,70.8,30.6,88.8,0.06,20.19,14.65,14.28,1,0,0,13.2,13.2,2,110.1,0.7345
1032.1,0.0,2.3,35.3,35.4,30.0,87.0,0.845,2.05,2.17,14.08,0,0,0,0.0,0.0,0,1289.7,0.0103
2309.4,28.4,9.0,49.7,70.9,35.6,95.4,0.109,13.71,14.94,13.88,2,0,0,28.4,28.6,2,20.1,0.8804
3574.3,64.0,51.9,86.3,84.5,37.1,97.8,0.718,2.38,2.24,13.96,3,0,0,64.0,63.6,0,1463.9,0.0438
